Bundestagswahl 2013
Endgültig
Nr;Gebiet;gehört;Wahlberechtigte;;;;Wähler;;;;Ungültige;;;;Gültige;;;;CDU;;;;SPD;;;;FDP;;;;DIE LINKE;;;;GRÜNE;;;;CSU;;;;PIRATEN;;;;NPD;;;;Tierschutzpartei;;;;REP;;;;ÖDP;;;;FAMILIE;;;;Bündnis 21/RRP;;;;RENTNER;;;;BP;;;;PBC;;;;BüSo;;;;DIE VIOLETTEN;;;;MLPD;;;;Volksabstimmung;;;;PSG;;;;AfD;;;;BIG;;;;pro Deutschland;;;;DIE RECHTE;;;;DIE FRAUEN;;;;FREIE WÄHLER;;;;Nichtwähler;;;;PARTEI DER VERNUNFT;;;;Die PARTEI;;;;B;;;;BGD;;;;DKP;;;;NEIN!;;;;Übrige;;;;
188;Bergstraße;6;199685;199708;;;148381;148308;;;3252;3135;3822;2708;145129;145173;144559;145600;70131;64472;61337;50275;46099;44903;39838;35748;2795;12966;7975;25219;5730;9171;7025;10891;8222;11296;12520;15683;;;;;2779;;2951;2782;1635;2365;1589;1607;;;;1618;;;617;1458;;;;;;;;;;;;;;;;;;;;;;;;;;;67;165;;;;;;;32;41;;;;;;;62;;6129;;8134;;;;;;;;182;;;;;;;;;;1609;;1602;;;;;;;;;;;;628;;;;;;;;;;;;;;;;;;;;;113;
6;Hessen;99;4413271;4398919;;;3230483;3244641;;;89214;72602;82392;67070;3141269;3172039;3148091;3177571;1399206;1251139;1232994;1022822;1080828;1026094;906906;812721;81708;305043;175144;527432;167135;225775;188654;271455;236653;287044;313135;381948;;;;;74084;3866;64655;66708;38635;44260;34115;35929;;14670;;31917;1239;6863;8402;19240;;;;;;;;;;;;;;;;;;;;;;;;;613;1357;1536;3746;;;;;325;489;1071;1137;;;;;;;1444;;37910;;176319;;;;;;;;3754;;;;;;;;;;11727;;24929;;;;;;;;;;3869;;15033;;;;;;;;;;;;;;;;;;7337;5439;;2516;

198;Neuwied;7;240333;242568;;;173536;172799;;;3247;3873;2380;2735;170289;168926;171156;170064;79785;66214;78005;61307;63453;61544;48866;42279;3906;17881;8023;28754;7655;11331;8965;15360;6779;9518;10661;14005;;;;;3418;;3249;2758;2179;2438;1610;1820;;;;;;;262;689;;;322;327;;;;1548;;;;;;;;;;;;;;;;1022;;;;;;;;;;;68;72;;;;;;;;;;;8759;;;;;;;;355;;;;;;;;;;3114;;1657;;;;;;;;354;;;;;;;;;;;;;;;;;;;;;;;;;123;
199;Ahrweiler;7;195077;195658;;;142594;139346;;;3103;2813;1934;2187;139491;136533;140660;137159;77379;62145;68680;54737;39071;33987;34660;28973;3313;20470;7897;25933;6221;8310;6569;10171;7813;10094;9287;11622;;;;;4255;;2920;2204;;1527;1067;1192;;;;;;;212;409;1439;;555;397;;;;1123;;;;;;;;;;;;;;;;288;;;;;;;;;;;34;31;;;;;;;;;;;7328;;;;;;;;261;;;;;;;;;;;;929;;;;;;;;261;;;;;;;;;;;;;;;;;;;;;;;;;79;
200;Koblenz;7;198113;196560;;;142888;138790;;;3193;3133;2025;2553;139695;135657;140863;136237;67046;59853;63427;49065;43094;38080;38221;32414;3772;13084;7595;23679;6901;9935;7358;11239;11184;13222;10853;13732;;;;;3953;;3073;2690;;1483;938;1188;;;;;;;176;432;;;324;324;;;;1118;;;;;;;;;;;;;;;;227;;;;;;;;;;;29;31;;;;;;;;;;;6625;;;;;;;;282;;;;;;;;;;3745;;1714;;;;;;;;248;;;;;;;;;;;;;;;;;;;;;;;;;98;
201;Mosel/Rhein-Hunsrück;7;175441;178493;;;129262;129502;;;3111;4212;2310;2615;126151;125290;126952;126887;67658;59719;62703;49993;35146;29768;31202;26369;3990;15621;7948;24093;5647;8979;6139;10510;5083;9690;7257;10221;;;;;2606;;2352;2017;1273;1513;1057;1130;;;;;;;160;482;830;;477;284;;;;1278;;;;;;;;;;;;;;;;385;;;;;;;;;;;36;25;;;;;;;;;;;5323;;;;;;;;282;;;;;;;;;;3918;;1698;;;;;;;;318;;;;;;;;;;;;;;;;;;;;;;;;;100;
202;Kreuznach;7;187473;190569;;;132299;133191;;;3409;3062;2495;2458;128890;130129;129804;130733;53324;61167;53335;43300;48521;37332;40708;34984;3767;8684;7236;21190;6688;11579;7485;14197;5733;8768;8221;11065;;;;;2996;;2394;2030;1772;1798;1434;1560;;;;;;;210;547;;;253;260;;;;1158;;;;;;;;;;;;;;;;248;;;;;;;;;;;32;36;;;;;;;;;;;6180;;;;;;;;288;;;;;;;;;;5194;;1745;;;;;;;;283;;;;;;;;;;;;;;;;;;;;;;895;801;;158;
203;Bitburg;7;166313;168357;;;119298;120001;;;2706;3429;2031;2390;116592;116572;117267;117611;65252;53705;61192;48270;30613;28042;26189;22419;3807;16213;7136;22500;3867;8043;5134;9642;5775;9274;7165;9922;;;;;2068;;2159;1717;1063;1295;904;1021;;;;;;;135;354;429;;305;266;;;;1237;;;;;;;;;;;;;;;;149;;;;;;;;;;;33;22;;;;;;;;;;;4264;;;;;;;;176;;;;;;;;;;2875;;1925;;;;;;843;;550;;;;;;;;;;;;;;;;;;;;;;;;;92;
204;Trier;7;193803;192571;;;141134;139027;;;3321;3573;2610;2348;137813;135454;138524;136679;67281;61980;60909;50519;42879;35039;36410;30426;2656;11330;6841;20509;7687;11639;8688;13128;9555;14143;13157;16500;;;;;3863;;3508;2489;1287;1323;1043;1099;;;;;;;136;350;;;290;284;;;;1119;;;;;;;;;;;;;;;;155;;;;;;;;;;;76;27;;;;;;;;;;;5736;;;;;;;;173;;;;;;;;;;1653;;1289;;;;;;;;268;;952;;;;;;;;;;;;;;;;;;;;;;;74;
205;Montabaur;7;211010;213225;;;155100;154343;;;3327;3255;2269;2698;151773;151088;152831;151645;74887;65215;69119;53078;47097;44416;42500;36122;3714;16541;7994;28104;7217;11884;7724;13186;9014;10685;9646;13047;;;;;3707;;3104;2948;2341;2347;1705;1895;;;;;;;279;638;;;291;311;;;;1627;;;;;;;;;;;;;;;;540;;;;;;;;;;;77;31;;;;;;;;;;;7831;;;;;;;;300;;;;;;;;;;3796;;1945;;;;;;;;316;;;;;;;;;;;;;;;;;;;;;;;;;118;
206;Mainz;7;256317;251837;;;196076;191097;;;3583;3627;2523;2619;192493;187470;193553;188478;77285;68081;74392;61777;67169;57338;51614;43303;9633;22054;12688;29045;8359;10737;10652;13922;19339;23696;25339;29745;;;;;5164;;4799;4553;;2043;1060;1153;;;;;;;561;2265;1819;2384;1314;1305;;;;1035;;;;;;;;;;;;;;;;245;286;304;;;;833;;;;;72;34;;;;;;;;;;;8815;;;;;;;;339;;;;;;;;;;2609;;1422;;;;;;830;;486;;;;;;;;;;;;;;;;;;;;;;;;;96;
207;Worms;7;201931;202156;;;148928;147381;;;2953;3191;2570;2788;145975;144190;146358;144593;61337;51892;57620;46831;53948;54255;43670;39125;3652;14051;8657;22748;5359;10218;7398;12098;8111;10515;12267;14609;;;;;2728;;3138;2909;2080;3259;2116;2284;;;;;;;544;1508;634;;497;425;;;;1468;;;;;;;;;;;;;;;;421;;;;;;;;;;;41;30;;;;;;;;;6316;;8188;;;;;;;;269;;;;;;;;;;1810;;1595;;;;;;;;358;;;;;;;;;;;;;;;;;;;;;;;;;137;
208;Ludwigshafen/Frankenthal;7;217129;217445;;;155005;153455;;;3243;3013;2585;2744;151762;150442;152420;150711;65746;57736;59425;48785;54003;48713;45001;40325;3773;12878;7952;22392;7476;13002;8538;15457;7247;9277;11042;12919;;;;;4179;3188;3878;3079;2666;1807;2177;1798;;;;;2452;3631;1801;3601;;;283;319;;;;1443;;;;;;;;;;;;;;;;314;;;;;;;;;281;210;148;121;;;;;;;;;;;9224;;;;;;;;348;;;;;;;;;;3939;;2162;;;;;;;;441;;;;;;;;;;;;;;;;;;;;;;;;;158;
209;Neustadt - Speyer;7;220643;220974;;;165435;164052;;;3865;3870;2632;2884;161570;160182;162803;161168;77345;71481;71072;57953;46217;40404;41982;36117;4355;14870;9337;26988;7244;12546;7871;13486;13054;13748;13915;16485;;;;;4189;;3660;3030;2728;2710;1778;1935;;;;;;;943;1918;;;427;426;1099;3140;;2217;;;;;;;;;;;;;;;;453;;;;;;;;;;;45;44;;;;;;;;;;;7995;;;;;;;;332;;;;;;;;;;4528;;2835;;;;;;811;;611;;;;;;;;;;;;;;;;;;;;;;;1283;;116;
210;Kaiserslautern;7;232164;235030;;;163010;163350;;;4024;4062;3142;3166;158986;159288;159868;160184;59086;52311;57376;45212;61253;55070;52242;44362;3584;14725;7315;22932;11813;22205;12107;22670;8446;10834;11430;13936;;;;;4810;;4278;3421;3953;4143;3080;3197;;;;;;;580;1373;;;323;406;1896;;;2074;;;;;;;;;;;;;;;;414;;;;;;;;;;;55;55;;;;;;;;;;;7101;;;;;;;;415;;;;;;;;;;4145;;3031;;;;;;;;535;;;;;;;;;;;;;;;;;;;;;;;;;132;
211;Pirmasens;7;180540;184220;;;128753;131065;;;4085;4156;3159;3205;124668;126909;125594;127860;57201;50035;54877;44143;40180;34342;35108;28982;3446;14105;6344;19605;7486;15989;8172;16977;5059;8840;5960;8528;;;;;3326;;3061;2561;2429;3598;2178;2533;;;;;1916;;1313;1662;;;267;391;;;;1945;;;;;;;;;;;;;;;;387;;;;;;;;;;;42;32;;;;;;;;;;;5461;;;;;;;;282;;;;;;;;;;3625;;2046;;;;;;;;483;;;;;;;;;;;;;;;;;;;;;;;;;114;
212;Südpfalz;7;216137;214215;;;158661;156149;;;3545;3719;2817;3029;155116;152430;155844;153120;75748;61994;66523;52517;43385;42287;40537;34790;6217;19431;9677;26201;6308;10926;7538;13137;11064;12637;13172;15635;;;;;4608;;4091;3322;2082;3230;1833;2272;;;;;1605;;1233;1980;940;;660;609;;;;1889;;;;;;;;;;;;;;;;575;;;;;;;;;;;71;59;;;;;;;;;;;7584;;;;;;;;349;;;;;;;;;;3159;;2166;;;;;;;;410;;;;;;;;;;;;;;;;;;;;;;;1925;;134;
7;Rheinland-Pfalz;99;3092424;3103878;;;2251979;2233548;;;50715;52988;37482;40419;2201264;2180560;2214497;2193129;1026360;903528;958655;767487;716029;640617;608910;520990;63585;231938;122640;364673;105928;177323;120338;205180;133256;174941;169372;211971;;;;;55870;3188;49664;41728;25853;34514;23980;26077;;;;;5973;3631;8545;18208;6091;2384;6588;6334;2995;3140;;22279;;;;;;;;;;;;;;;;5823;286;304;;;;833;;;281;210;859;650;;;;;;;;;6316;;106414;;;;;;;;4451;;;;;;;;;;48110;;28159;;;;;;2484;;5922;;952;;;;;;;;;;;;;;;;;;;;895;4009;;1729;

258;Stuttgart I;8;191191;184454;;;152546;142504;;;1298;1527;1046;1120;151248;140977;151500;141384;63465;48518;56794;39482;25050;25364;31766;26656;3894;14514;12548;27557;5824;6601;9432;9439;41522;42116;26534;31076;;;;;3315;2350;4338;3426;673;1068;506;691;;;860;667;;;224;758;697;;528;494;;;;;;;;;;;258;;;;;;;;170;250;161;446;79;150;;;;361;;;103;144;;;141;143;;;;;4151;;6281;;;;136;;;;66;;;;;;;;;;864;;645;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;1632;;;90;
259;Stuttgart II;8;183064;181088;;;134355;129259;;;1520;1789;1314;1539;132835;127470;133041;127720;58222;44002;52323;37151;34690;33525;30469;26675;3594;13327;8920;22059;6633;10902;8902;11437;18505;21453;18341;22916;;;;;3064;1893;3460;2616;1074;1673;799;999;;;846;756;;;479;1365;;;382;444;;;;;;;;;;;367;;;;;;;;135;263;121;373;44;128;;;;336;281;322;219;253;;;153;217;;;;;4497;;6047;;;;255;;;;84;;;;;;;;;;1203;;732;;;;;;;;84;;;;;;;;;;;;;;;;;;;;;;951;;;105;
260;Böblingen;8;247128;244919;;;191149;185176;;;2400;2730;1872;2507;188749;182446;189277;182669;102408;82344;88734;61918;44676;36550;37808;34915;6501;23717;13516;38125;7621;9657;8234;11118;17750;24138;19613;25364;;;;;4482;2798;4133;3861;2581;2914;1743;2265;;;1331;1089;;;566;1273;;;533;552;;;;;;;;;;;331;;;;;;;;613;1085;;;85;68;;;;356;305;328;163;197;;;456;346;;;;;;;9666;;;;184;;;;161;;;;;;;;;;2425;;1291;;;;;;;;116;;;;;;;;;;;;;;;;;;;;;;;;;137;
261;Esslingen;8;166975;165210;;;129700;125558;;;1275;1711;1164;1450;128425;123847;128536;124108;65825;53829;57598;41672;32379;35396;28205;25797;2474;10819;7859;22873;4788;6225;5862;7680;14236;15511;15483;19402;;;;;2936;;2871;2051;912;1768;880;1069;;;1110;582;1004;;873;1601;;;302;351;;;;;;;;;;;245;;;;;;;;165;275;;;18;68;;;;210;;299;111;148;;;152;239;;;;;3871;;5835;;;;143;;;;88;;;;;;;;;;;;647;;;;;;;;89;;;;;;;;;;;;;;;;;;;;;;;;;90;
262;Nürtingen;8;205756;204091;;;160053;154949;;;1680;2431;1627;1978;158373;152518;158426;152971;80710;66116;72844;51146;40013;36910;31499;28943;3997;17768;10880;31686;5205;7973;6533;8661;15685;21104;18435;22902;;;;;3238;;3602;2552;1201;2647;1181;1411;;;1233;787;2127;;1744;2651;;;476;413;;;;;;;;;;;387;;;;;;;;370;701;;;10;94;;;;275;;;59;88;;;320;502;;;;;5055;;7599;;;;112;;;;128;;;;;;;;;;1142;;915;;;;;;;;99;;;;;;;;;;;;;;;;;;;;;;;;;159;
263;Göppingen;8;179130;180442;;;132632;129901;;;1921;2288;1529;2045;130711;127613;131103;127856;64095;55049;60058;42318;31646;33916;28435;26524;4393;13177;7646;24408;4710;8157;5569;9327;14010;14009;13275;17018;;;;;2557;;2629;2371;1813;2385;1599;1730;;;1000;956;;;552;1377;596;920;403;523;;;;;;;;;;;289;;;;;;;;240;465;;;17;60;;;;325;;;67;79;;;198;261;;;;;6891;;8259;;;;129;;;;93;;;;;;;;;;;;530;;;;;;;;115;;;;;;;;;;;;;;;;;;;;;;;;;114;
264;Waiblingen;8;221739;220220;;;171509;164521;;;2110;2560;1650;2140;169399;161961;169859;162381;87082;69575;77461;53864;38908;44071;34086;31431;6354;19793;13327;33634;6211;8627;7663;10511;17838;15379;17511;22834;;;;;3739;;3583;2865;2244;2720;1783;1775;;;1359;934;;;665;1503;;1477;577;881;;;;;;;;;;;640;;;;;;;;625;907;;;16;70;520;;;503;;319;116;140;;;399;311;;;;;6503;;9160;;;;102;;;;104;;;;;;;;;;;;564;;;;;;;;118;;;;;;;;;;;;;;;;;;;;;;;;;218;
265;Ludwigsburg;8;209968;206805;;;162815;156053;;;2254;2440;1544;1882;160561;153613;161271;154171;80935;61328;70982;50274;33977;34718;34338;31079;5126;19431;11140;30179;7739;9800;7594;10382;21666;23966;18842;23090;;;;;4349;;3567;2995;2251;2436;1359;1538;;;1102;943;;;563;1548;1145;963;557;628;;;;;;;;;;;507;;;;;;;971;334;608;;;21;64;;;;360;;;120;109;;;202;245;;;;;;;8247;;;;138;;;;142;;;;;;;;;;3373;;1380;;;;;;;;136;;;;;;;;;;;;;;;;;;;;;;;;;129;
266;Neckar-Zaber;8;226751;224090;;;177134;170674;;;2854;2745;1876;2300;174280;167929;175258;168374;92693;70606;79372;55618;45962;39430;36849;33711;5404;24682;11799;34641;7697;9169;7271;10852;16474;18626;18551;22773;;;;;;;3810;3041;3442;2798;1921;1941;;;1350;1161;;;738;1954;2608;1177;705;785;;;;;;;;;;;645;;;;;;;;474;905;;;79;85;;;;353;;;86;60;;;299;318;;;;;;;9703;;;;186;;;;190;;;;;;;;;;;;1051;;;;;;;;179;;;;;;;;;;;;;;;;;;;;;;;1441;;176;
267;Heilbronn;8;241656;241035;;;173772;168927;;;2885;3239;2182;2698;170887;165688;171590;166229;87777;73308;78544;57889;46231;41484;37933;35331;6178;19924;10927;31932;7554;10693;8138;12256;12771;14594;14662;16917;;;;;4599;;3789;3246;3905;3657;2672;2622;;;1250;1131;;;715;1853;1469;1656;731;1040;;;;;;;;;;;544;;;;;;;;432;912;;;28;70;;;;264;403;372;126;186;;;308;358;;;;;;;9271;;;;322;;;;261;;;;;;;;;;;;771;;;;;;;;166;;;;;;;;;;;;;;;;;;;;;;;;;222;
268;Schwäbisch Hall - Hohenlohe;8;224384;223234;;;158389;154351;;;2624;3030;2156;2561;155765;151321;156233;151790;81427;65474;72835;52745;35728;32606;31230;27907;6128;19839;10355;28688;6626;10938;7535;11554;15569;18132;15641;19829;;;;;4226;;3371;2950;3184;3328;2119;2429;;;1143;1070;;;597;1444;2877;;1188;905;;;;;;;;;;;442;;;;;;;;574;1173;;;23;78;;;;317;;;81;86;;;278;401;;;;;;;7799;;;;94;;;;146;;;;;;;;;;;;608;;;;;;;;174;;;;;;;;;;;;;;;;;;;;;;;1004;;214;
269;Backnang - Schwäbisch Gmünd;8;175434;176381;;;130255;126601;;;2468;2504;1647;2189;127787;124097;128608;124412;70748;55492;62236;44068;31673;30902;26198;24289;3541;12822;7420;23060;5079;8177;5454;8840;10439;12749;11657;15606;;;;;3856;;2761;2229;2451;2404;1587;1578;;;1011;777;;;547;1608;;;424;533;;;;;;;;;;;402;;;;;;;1240;514;909;;;29;79;;;;329;;;76;92;;;245;276;;;;;;;7268;;;;55;;;;122;;;;;;;;;;;;433;;;;;;;;169;;;;;;;;;;;;;;;;;;;;;;;311;;139;
270;Aalen - Heidenheim;8;222959;224418;;;162969;159936;;;2859;3218;2036;2871;160110;156718;160933;157065;92293;70599;79409;57878;39464;39951;35861;32195;2857;15604;7267;26534;7929;11775;7483;12351;12402;14226;13532;17732;;;;;4934;;3118;2830;;2996;2166;1867;;;1010;915;;;983;2251;;;655;827;;;;;;;;;;;450;;;;;;;;324;644;;;16;86;;;;314;;;49;55;;;282;397;;;;;;;7255;;;;96;;;;161;;;;;;;;;;;;692;;;;;;;;124;;;;;;;;;;;;;;231;;;;;;;;;1567;;189;
271;Karlsruhe-Stadt;8;205735;201833;;;150050;143521;;;1939;2030;1444;1855;148111;141491;148606;141666;58452;53872;55791;40566;43866;37845;33785;29227;4714;11845;8978;24654;7254;10034;8933;11807;20337;21452;22263;26051;;;;;5149;4359;6009;5008;912;1534;853;1295;;;1111;894;452;;352;544;;;423;405;;;;;;;;;;;250;;;;;;;;205;444;;;34;75;;;;254;;234;93;133;;;185;205;;;;;5983;;8334;;;;77;;;;90;;;;;;;;;;992;;724;;;;;;;;116;;;;;;;;;;;;;;;;;;;;;;;316;;104;
272;Karlsruhe-Land;8;209733;208654;;;159992;155522;;;2737;2991;1887;2339;157255;152531;158105;153183;83848;68951;73805;55285;40735;39021;33416;31160;4490;17668;9553;29292;5896;8569;6461;9935;12298;15506;15175;18066;;;;;4374;;3761;3307;1853;2310;1301;1567;;;1278;1107;1224;;730;1228;;;346;390;;;;;;;;;;;386;;;;;;;;491;896;;;16;71;;;;263;;;41;67;;;258;406;;;;;;;9473;;;;62;;;;196;;;;;;;;;;2537;;1205;;;;;;;;151;;;;;;;;;;;;;;;;;;;;;;;506;;143;
273;Rastatt;8;207555;208664;;;148159;146160;;;2513;3219;2202;2667;145646;142941;145957;143493;77850;68652;71752;55806;33482;33279;30043;27376;4527;14235;8436;25553;5073;8935;6055;10093;12233;15404;13223;16649;;;;;3058;;2906;2538;1642;2436;1409;1727;;;1076;1095;;;376;1013;;;280;378;;;;;;;;;;;380;;;;;;;;174;348;;;12;83;;;;321;;;54;58;;;329;316;;;;;7021;;8397;;;;46;;;;121;;;;;;;;;;;;751;;;;;;;;137;;;;;;;;;;;;;;;;;;;;;;760;;;139;
274;Heidelberg;8;215943;211807;;;168177;162920;;;1858;2338;1771;1932;166319;160582;166406;160988;68061;57963;62331;49296;50850;47683;38915;35337;5180;19314;11626;28419;6892;8985;9413;11823;20392;24985;24601;28349;;;;;3430;;4581;3396;1210;1652;1136;1318;;;1187;958;;;268;686;663;;405;364;;;;;;;;;;;289;;;;;;;;145;288;;;10;62;;;;285;;;44;57;;;188;239;;;;;8143;;10219;;;;85;;;;76;;;;;;;;;;776;;766;;;;;;;;121;;722;;;;;;;;;;;;;;;;;;;;;;;111;
275;Mannheim;8;198525;198437;;;137796;134143;;;2629;2149;2052;1785;135167;131994;135744;132358;53819;48137;47598;38435;43736;39845;37367;32627;3772;11782;7427;19900;8951;12520;10227;14936;16544;16648;15047;18052;;;;;4606;;4287;3258;2514;2418;1585;1772;;;1378;1090;;;514;987;;;278;236;;;;;;;;;;;497;;;;;;;;162;238;;;27;60;;;;239;270;333;120;121;;;277;286;;;;;;;8148;;;;104;;;;136;;;;;;;;;;;;465;;;;;;;;100;;955;;;;;;;;;;;;;;;;;;;;;311;;121;
276;Odenwald - Tauber;8;213424;215910;;;155585;153296;;;2300;3375;2339;3040;153285;149921;153246;150256;90624;75337;79516;63120;32696;29977;30269;27740;2807;17199;7956;25455;5158;9821;6379;10357;9019;13173;10984;13770;;;;;2968;;3049;2648;2177;2876;2023;2015;;;1199;1139;;;615;1415;1556;1538;1030;1156;;;;;;;;;;;386;;;;;;;;213;502;;;24;98;;;;274;;;34;59;;;299;332;;;;;6280;;7994;;;;75;;;;149;;;;;;;;;;;;911;;;;;;;;141;;;;;;;;;;;;;;;;;;;;;;;;;176;
277;Rhein-Neckar;8;197424;195971;;;147782;144215;;;2228;2928;2035;2277;145554;141287;145747;141938;72271;59755;63876;49922;37724;35426;32456;29356;3709;17833;9444;26191;5824;10596;6959;11078;12031;14952;13912;16723;;;;;3866;;3909;2970;2040;2725;1936;1894;;;1255;1060;655;;591;979;759;;421;406;;;;;;;;;;;342;;;;;;;;264;489;;;18;65;;;;267;;;36;49;;;267;328;;;;;6675;;8786;;;;72;;;;125;;;;;;;;;;;;932;;;;;;;;146;;;;;;;;;;;;;;;;;;;;;;;;;161;
278;Bruchsal - Schwetzingen;8;195953;194304;;;145107;141401;;;2468;3452;2072;2611;142639;137949;143035;138790;73944;64659;66656;50031;35252;32525;30861;27934;3966;15785;8133;26626;5345;9995;6357;10723;9678;12082;11696;14084;;;;;3396;;3556;2976;1716;2903;1628;1825;;;1416;1301;1261;;1042;1642;;;278;384;;;;;;;;;;;418;;;;;;;;164;385;;;22;70;;;;254;;;42;65;;;272;357;;;;;6277;;8700;;;;89;;;;168;;;;;;;;;;1804;;1364;;;;;;;;173;;;;;;;;;;;;;;;;;;;;;;;;;133;
279;Pforzheim;8;219976;220877;;;159491;155907;;;2294;3120;2095;2805;157197;152787;157396;153102;77737;62224;70997;52771;36059;34944;31788;30652;9064;24640;11171;30192;6435;10353;7248;11279;12539;15236;14081;17556;;;;;3457;;3405;3048;2502;3172;2125;2029;;;1324;1211;;;613;1439;;;389;412;;;;;;;;;;;460;;;;;;;2218;598;1374;;;15;67;;;;337;;;38;73;;;317;450;;;;;8045;;11379;;;;98;;;;176;;;;;;;;;;1359;;1014;;;;;;;;160;;;;;;;;;;;;;;;;;;;;;;;;;212;
280;Calw;8;197679;198923;;;145151;142812;;;2442;2877;1881;2537;142709;139935;143270;140275;83514;64808;73263;53358;28892;28255;25285;24450;4072;17528;9194;28260;6094;9136;5948;9537;10036;13460;10946;14464;;;;;3038;;2642;2390;2107;1915;1689;1813;;;995;1023;1522;2172;904;1955;1164;;524;464;;;;;;;;;;;410;;;;;;;2661;796;1698;;;21;68;;;;277;;;39;72;;;257;325;;;;;;;9013;;;;88;;;;122;;;;;;;;;;2270;;1017;;;;;;;;117;;;;;;;;;;;;;;;;;;;;;;;;;121;
281;Freiburg;8;219472;210636;;;168260;157681;;;1726;2537;1681;1998;166534;155144;166579;155683;58106;44749;59007;42224;50004;51192;36791;32691;3182;12674;8059;21887;8083;9675;13105;13793;34762;33878;33044;35536;;;;;3829;;4973;4289;950;890;784;764;;;1465;1165;;1063;282;981;;;642;474;;;;;;;;;;;363;;;;;;;;329;581;;;21;49;452;1023;;658;;;77;88;;;261;369;;;;;4207;;6384;;;;52;;;;88;;;;;;;;;;1111;;732;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;1848;;;134;
282;Lörrach - Müllheim;8;229316;225703;;;164341;156692;;;2298;2864;2139;2577;162043;153828;162202;154115;81205;58282;70888;49707;39902;49591;35328;33953;3856;16932;9159;26425;6305;9268;7856;10802;19468;16151;20593;23904;;;;;3747;;3594;3116;1741;2106;1412;1271;;;1393;1124;;;589;1333;;;410;422;;;;;;;;;;;457;;;;;;;1498;590;987;;;24;55;;;;323;;;50;57;;;514;508;;;;;5819;;8267;;;;70;;;;119;;;;;;;;;;;;738;;;;;;;;151;;;;;;;;;;;;;;;;;;;;;;;;;128;
283;Emmendingen - Lahr;8;215623;213013;;;153869;149482;;;3254;3557;2600;3458;150615;145925;151269;146024;78797;61427;69272;50594;39772;35339;32131;29740;2742;14470;7749;24135;7002;10238;7016;11134;17368;22429;18293;21332;;;;;;;3667;3029;1928;2022;1176;1310;;;1490;1425;;;413;986;3006;;1087;523;;;;;;;;;;;371;;;;;;;;397;584;;;26;56;;;;355;;;29;38;;;363;399;;;;;;;6823;;;;33;;;;101;;;;;;;;;;;;710;;;;;;;;122;;;;;;;;;;;;;;;;;;;;;;;;;384;
284;Offenburg;8;205119;204619;;;145259;141835;;;2386;3305;2437;3164;142873;138530;142822;138671;80083;65336;68973;52083;28862;27052;27448;24662;3063;15454;8140;24887;6083;10129;6762;10742;14111;17460;15311;18247;;;;;2836;;3028;2605;1471;2069;1318;1506;;;1244;974;;;334;914;;;350;430;;;;;;;;;;;311;;;;;;;;218;444;;;14;75;;;;417;;;32;42;;;332;453;;;;;5563;;7743;;;;24;;;;79;;;;;;;;;;801;;852;;;;;;;;309;;;;;;;;;;;;;;;;;;;;;;;1030;;190;
285;Rottweil - Tuttlingen;8;199241;200726;;;143449;141391;;;2519;3816;2281;3024;140930;137575;141168;138367;81517;66104;72998;53547;25044;22388;24757;22550;4714;24395;9025;30249;5290;8140;5601;8753;10546;11503;10385;12924;;;;;;;2582;2396;2296;3006;2080;2298;;;968;1022;;;413;1126;2419;2039;1250;1498;;;;;;;;;;;418;;;;;;;;361;782;;;27;110;;;;294;;;29;45;;;353;502;;;;;7112;;8214;;;;54;;;;99;;;;;;;;;;1992;;1383;;;;;;;;171;;;;;;;;;;;;;;;;;;;;;;;;;271;
286;Schwarzwald-Baar;8;166191;167458;;;119181;117355;;;1815;2983;1836;2618;117366;114372;117345;114737;66505;54172;57912;41694;22211;21835;22414;20374;2946;15292;6933;23812;4144;7158;4860;7837;8984;13034;10613;13344;;;;;;;2260;2111;1963;2881;1737;1978;;;926;937;;;208;553;586;;375;455;;;;;;;;;;;339;;;;;;;;453;694;;;17;61;;;;254;;;57;80;;;229;287;;;;;4603;;6697;;;;37;;;;76;;;;;;;;;;1845;;1084;;;;;;;;118;;;;;;;;;;;;;;;;;;;;;;3579;;;266;
287;Konstanz;8;202393;197671;;;147557;140167;;;1907;2793;1741;2480;145650;137374;145816;137687;75524;59256;63563;43844;27956;29713;29504;26047;5476;20335;10735;29372;5980;8943;7295;9344;19322;17439;18446;20482;;;;;3198;;3190;3298;1237;1688;1116;1309;;;1180;1319;;;199;533;1105;;661;465;;;;;;;;;;;335;;;;;;;;230;419;;;20;60;;;;444;;;43;62;;;384;490;;;;;5852;;8027;;;;49;;;;89;;;;;;;;;;;;649;;;;;;;;101;;;;;;;;;;;;;;;;;;;;;;;;;199;
288;Waldshut;8;177313;177784;;;128808;125418;;;2367;2689;1772;2066;126441;122729;127036;123352;65009;50967;62610;45201;35359;35026;24130;23058;4184;13686;7307;22993;5613;7100;5482;7765;12768;13091;13987;16971;;;;;;;2335;2244;1694;1667;947;941;;;876;869;;;635;1190;1814;843;683;611;;;;;;;;;;;314;;;;;;;;228;574;;;21;67;;;;338;;;30;38;;;344;370;;;;;;;5979;;;;46;;;;97;;;;;;;;;;;;890;;;;;;;;95;;;;;;;;;;;;;;;;;;;;;;;349;;122;
